patient_id,national_code,first_name,last_name,birth_date,gender,phone,address,blood_type,allergies,insurance_id,registration_date
1,3338726244,نسرین,احمدی,2010-12-24,زن,09132677360,"433 آرش دره، باغات دانیال, اردبیل 133",A+,,3,2024-02-20
2,7468723435,سینا,توکلی,2013-02-27,مرد,09820812191,"863 محجوب جنب، شرق سينا, مازندران 42351",B-,,5,2023-11-29
3,3990916998,نیما,قاسمی,1993-09-03,مرد,09475107991,"55940 پارسا دره واحد 184، باغات یاسمین, کردستان 341",B-,,2,2025-05-08
4,5135427848,حسین,قاسمی,2018-08-29,مرد,09411824493,"4752 ربانی بن بست، استان اميرعباس, کردستان 2832764835",,,,2025-04-08
5,4874016405,بهاره,علوی,1987-05-23,زن,09011280598,"56413 نوروزی تونل، استان محمد مهدی, بوشهر 23884",B+,لیدوکائین,1,2026-01-24
6,5331586929,میلاد,مرادی,2000-05-11,مرد,09634216073,"3287 عباس خیابان سوئیت 226، روستای نيايش, هرمزگان 4801845146",O-,,2,2025-11-25
7,3036541454,مجید,نوری,1978-08-01,مرد,09940196556,"48281 هدایت بن بست سوئیت 528، باغات هانيه, یزد 154",A-,,,2024-03-27
8,9340608836,سارا,هاشمی,1938-03-09,زن,09846564823,"91171 مبینا تونل، بندر علی اصغر, مازندران 8346",O+,,2,2025-05-07
9,9946804433,شیرین,توکلی,1978-12-20,زن,09721489513,"713 ثنا آزاد راه سوئیت 983، شمال مریم, خراسان 1051",B-,,2,2026-01-24
10,0037917692,سپیده,احمدی,1957-01-28,زن,09163287083,"738 رضا تونل سوئیت 763، غرب متين, مازندران 66701",,لاتکس,4,2024-12-15
11,8895798686,دلارام,یوسفی,1960-01-02,زن,09873471434,"513 محدثه جاده سوئیت 624، جنوب یلدا, مرکزی 1080132677",A-,لاتکس,,2025-01-15
12,6231665879,فرشته,پارسا,1967-01-31,زن,09670546688,"26064 تحسینی کوه واحد 234، شمال بنیامین, خراسان 00978",,,,2023-09-13
13,7346706560,نیما,رستمی,2003-09-25,مرد,09901627204,"121 ساميار بلوار، غرب ایلیا, خوزستان 9091699854",B-,,3,2026-08-01
14,6464170805,احمد,شریفی,2011-09-08,مرد,09092327193,"46247 کمالی پل سوئیت 799، غرب امیرمهدی, خراسان رضوی 4251354278",AB+,,,2023-10-25
15,2991241901,سامان,سلطانی,1972-01-26,مرد,09149190586,"841 محدثه دره، شهرستان حدیث, سمنان 93534",A-,,3,2024-09-13
16,0671657267,دلارام,رستمی,1985-10-02,زن,09453147379,"16400 نعمتی میدان واحد 278، شهرستان زهرا, البرز 280",O+,,4,2026-04-20
17,5273545498,میلاد,نجفی,2018-11-14,مرد,09783777014,"2045 حلما بن بست، استان نرگس, کرمان 6923226025",B-,,5,2024-08-29
18,5788568552,فرهاد,صادقی,1988-04-16,مرد,09823374989,"2160 نوری بن بست، شهر اسما, خراسان شمالی 0365",A-,,3,2024-04-07
19,3524082408,علی,پارسا,2003-09-17,مرد,09477752047,"5868 رضا زاده دره، شرق بنیامین, زنجان 196",A-,,1,2026-05-05
20,9022941310,پویا,هاشمی,1991-11-18,مرد,09964990913,"9816 سارا خیابان واحد 088، شهر آرمین, کردستان 95148",AB+,,2,2025-09-21
21,3281206794,رویا,موسوی,1986-08-17,زن,09349361832,"6482 محمد جزیره سوئیت 994، شهرستان فاطمه, فارس 36995",,,1,2025-03-05
22,0249947171,وحید,حسینی,1985-11-30,مرد,09659401399,"3872 مريم آزاد راه سوئیت 343، شرق زینب, اردبیل 7917",,,3,2026-05-11
23,9027874298,مینا,جعفری,2008-12-10,زن,09256746807,"676 یگانه کوچه، روستای يسنا, چهارمحال و بختیاری 7083172788",AB+,,4,2025-07-16
24,8087603850,امیر,عباسی,1964-07-23,مرد,09771093248,"868 جعفر پور تونل واحد 434، استان هليا, سمنان 143455",O+,سولفانامید,1,2024-09-23
25,7127484678,بابک,قاسمی,2002-01-25,مرد,09146584044,"36231 رفیعی آزاد راه، روستای باران, خراسان رضوی 690967",,,,2024-08-28
26,7278755883,پریسا,نجفی,1995-08-19,زن,09057662702,"6688 آرش بلوار واحد 670، شهر مهدي, گلستان 7298",AB-,,4,2024-12-05
27,1870262174,نوید,میرزایی,1969-09-19,مرد,09657809134,"901 هنری جاده سوئیت 046، جنوب سینا, قزوین 64641",,,,2024-01-15
28,6117240058,آرش,پارسا,1973-01-08,مرد,09222196937,"805 محمدياسين پل، شمال سوگند, خراسان جنوبی 923",,آسپرین,3,2024-05-28
29,7407482179,پویا,هاشمی,1981-09-21,مرد,09367136959,"193 لاچینی جنب واحد 299، شرق هستي, اصفهان 0496631931",AB+,سولفانامید,4,2025-12-19
30,4090974399,میلاد,قاسمی,1995-09-28,مرد,09104709521,"058 ضرغامی بزرگ راه، شهرستان اميرعباس, قم 671",,,4,2024-12-29
31,2328588425,رویا,موسوی,1959-03-22,زن,09236851604,"726 ماهان جنب واحد 769، شهر فاطمه, گیلان 73799",O-,,,2025-06-27
32,4965137094,پویا,هاشمی,1991-09-15,مرد,09612004711,"75273 شاکری آزاد راه واحد 948، شهرستان محدثه, گیلان 6783",B+,,3,2023-12-11
33,8692617962,احمد,رحیمی,1973-04-27,مرد,09158506431,"0143 نیلوفری بلوار واحد 957، روستای ياسين, قم 74443",,,1,2026-01-28
34,3900532931,پریسا,مرادی,1993-10-15,زن,09290422842,"1823 مبين تونل، باغات پارسا, سیستان و بلوچستان 343",A+,لیدوکائین,,2024-10-19
35,3950240268,حسین,سعیدی,1960-01-03,مرد,09839084700,"0824 محیا تقاطع، استان اميرمهدي, یزد 094",,,4,2025-08-14
36,1771159219,مهسا,صالحی,1979-02-01,زن,09611836736,"5204 الوندی پل واحد 719، شرق نیایش, فارس 318",O-,,1,2026-07-25
37,5654527118,شهرام,علوی,2008-01-30,مرد,09851656049,"677 محجوب کوه، باغات آرتين, خراسان 1334123281",A-,,2,2024-04-26
38,2731585145,مجید,هاشمی,2016-09-28,مرد,09550229612,"7974 آيناز تقاطع، دهستان مریم, خراسان شمالی 93618",,,1,2025-02-01
39,8366752542,وحید,رضایی,2010-07-12,مرد,09147679764,"2102 هاشمی تقاطع، غرب محمدرضا, فارس 488771",A-,,1,2024-06-17
40,4978403693,سارا,احمدی,1993-06-02,زن,09762268388,"594 نازنین بلوار سوئیت 490، دهستان یوسف, مرکزی 29671",,,1,2025-01-08
41,6060715966,فرهاد,باقری,1967-03-23,مرد,09975161369,"5512 رفیعی تونل واحد 680، غرب مهديس, زنجان 16808",A-,,3,2024-03-26
42,5352181881,نرگس,فرهادی,1975-09-20,زن,09329212779,"38597 گلپایگانی خیابان سوئیت 482، دهستان سينا, یزد 093",,,5,2024-06-01
43,9552717744,پویا,حسینی,1974-11-30,مرد,09054119986,"086 عسل دره واحد 127، شهرستان آراد, سمنان 773782",A+,,5,2024-01-02
44,3597820719,سامان,سعیدی,2009-11-22,مرد,09788925546,"821 نعمتی کوه، شهرستان ثنا, آذربایجان شرقی 49972",AB-,,1,2024-07-22
45,5151864491,سامان,بهرامی,2002-02-11,مرد,09291486528,"5886 ظفری بن بست سوئیت 963، شمال محيا, همدان 627028",O+,,,2025-04-30
46,0542357331,حامد,شکوهی,1983-06-24,مرد,09059296222,"1870 متین میدان، دهستان محدثه, قم 6158657809",,,,2026-06-08
47,2706537949,ایمان,دهقان,1990-11-12,مرد,09359774688,"431 ابوطالبی دره، شرق عليرضا, فارس 050",B+,,5,2024-12-05
48,2407581814,بهاره,کریمی,1985-12-26,زن,09375060685,"6238 نامور چهار راه سوئیت 219، باغات احسان, خوزستان 923747",A-,,1,2026-06-20
49,5152204721,حامد,امینی,2020-06-25,مرد,09898614341,"4821 زارعی تقاطع، بندر سینا, فارس 6713",O+,,5,2023-09-11
50,7117980893,بهاره,نوری,1966-08-18,زن,09185188888,"440 شبیری کوچه سوئیت 974، باغات کيانا, خراسان شمالی 9421",O-,آسپرین,3,2025-07-26
51,4051531953,کیمیا,مقدم,1976-09-20,زن,09722170430,"0952 اسرا آزاد راه واحد 232، شهرستان عرشیا, سمنان 4745",,,,2024-07-27
52,5486874030,مهناز,رحیمی,2013-09-05,زن,09667652775,"23685 ابوالفضل کوچه واحد 817، استان علي, زنجان 6513709859",,,1,2025-06-13
53,6169284511,رویا,اکبری,1980-12-29,زن,09705964016,"746 آوا خیابان، بندر نیما, البرز 382",B+,,2,2025-12-23
54,9702135567,کامران,سعیدی,2003-08-27,مرد,09192856543,"8692 ملکیان دره واحد 964، شهر مبينا, مرکزی 351585",,لاتکس,,2026-02-10
55,7868144734,رضا,سعیدی,1958-05-10,مرد,09271551884,"3171 آريا کوچه سوئیت 532، غرب محمدعلي, خراسان رضوی 3352904228",,,2,2024-04-11
56,5831323706,مریم,موسوی,1960-11-10,زن,09467866912,"02053 اکبر پور چهار راه، شمال مبینا, لرستان 1177589178",,,4,2024-04-25
57,7852892264,الهام,طاهری,2004-11-16,زن,09358414384,"847 باران تونل، روستای اميررضا, اصفهان 711592",AB+,,1,2024-06-12
58,8299229952,پدرام,پارسا,2017-06-25,مرد,09439690784,"9985 هاشمی تقاطع، شهرستان پرهام, مازندران 183",AB+,,,2023-11-05
59,6471027672,نازنین,اکبری,2002-03-02,زن,09625881537,"65766 مهديس کوه واحد 452، غرب نازنین, گیلان 615",O-,,1,2025-05-18
60,0469632593,فرزاد,هاشمی,1999-11-28,مرد,09701687339,"885 محمد طاها بزرگ راه، شمال فاطمياسارينا, فارس 19832",A+,,5,2026-06-23
61,7480162456,بهرام,موسوی,1969-07-22,مرد,09687849912,"58514 علی کوچه، شمال آیدا, سمنان 55022",,,3,2024-09-05
62,8523986804,هدیه,توکلی,1977-12-16,زن,09259526949,"01836 ترکاشوند آزاد راه، شهر هستي, قزوین 9102290147",O-,,3,2026-07-02
63,7055169402,یاسر,نیکنام,1991-07-17,مرد,09623091307,"764 عباس دره واحد 614، شهرستان دانيال, فارس 369",B+,,2,2026-04-13
64,6897028381,نسرین,مرادی,1972-03-09,زن,09854973348,"43244 بهمنی کوچه، روستای معصومه, ایلام 838851",AB+,,2,2024-07-23
65,7575844198,بهرام,کریمی,1970-02-22,مرد,09574733848,"0715 حسنی جزیره، بندر كیانا, گلستان 529",B+,بی‌حسی موضعی,5,2024-05-29
66,3308330164,پگاه,دهقان,2003-08-07,زن,09734540193,"61369 سغیری پل واحد 453، شرق یلدا, البرز 8355231243",A+,,2,2024-06-22
67,6206724001,نسرین,شکوهی,1978-03-23,زن,09728743152,"127 کمالی جاده، استان مهديس, بوشهر 177449",,,,2026-02-19
68,2054932965,امیر,دهقان,2009-01-14,مرد,09530463745,"147 مجتهدی خیابان واحد 411، دهستان بنیامین, اردبیل 935978",A+,,3,2024-02-15
69,3017426841,امیر,دهقان,1983-02-07,مرد,09279568783,"1518 ریحانه بلوار، دهستان احسان, تهران 54665",,,5,2024-10-29
70,1878519107,نوید,شکوهی,1994-10-22,مرد,09713971870,"51864 فرجی میدان واحد 192، بندر محمدمهدي, گلستان 9148",O+,,1,2024-06-05
71,8740640396,مریم,دهقان,2011-11-03,زن,09046226567,"81685 مليکا تقاطع سوئیت 357، جنوب آوا, بوشهر 418",,,,2023-12-05
72,6182512865,پویا,میرزایی,1992-08-10,مرد,09686337524,"296 سوگند چهار راه سوئیت 706، استان حسام, خوزستان 947383",A-,بی‌حسی موضعی,,2023-09-19
73,6903311904,پریسا,میرزایی,2014-04-03,زن,09302843959,"59774 اشتری کوه سوئیت 392، شمال آريا, همدان 81814",AB-,,2,2023-11-02
74,8364408925,کاوه,خسروی,1957-07-27,مرد,09856624628,"7826 يسنا جاده، شمال عرفان, خراسان 853615",B-,,,2025-07-09
75,2708668821,نازنین,رحیمی,1977-09-18,زن,09183046990,"1522 فاطمياسارينا تونل، دهستان سبحان, آذربایجان شرقی 043",,,,2024-01-12
76,9837354038,سامان,کاظمی,2004-12-06,مرد,09638546785,"43410 محمد جاده سوئیت 179، استان محمدحسین, خوزستان 4609",AB-,,4,2024-12-12
77,7175355602,شهرام,رستمی,2002-08-01,مرد,09642353693,"621 عبدالعلی کوچه، دهستان آیناز, کهگیلویه و بویراحمد 40515",AB-,,4,2025-01-19
78,7725228721,رضا,رضایی,2012-11-11,مرد,09062312038,"520 ضابطی آزاد راه، استان آریا, همدان 2170",A+,,,2023-10-12
79,9770088609,کیمیا,غفاری,1984-08-05,زن,09211823398,"30548 ضابطی تونل، شمال اميرمهدي, خراسان جنوبی 50541",AB-,,,2026-05-28
80,6156793348,داریوش,دهقان,2016-06-19,مرد,09002176591,"7652 نیلوفری تونل واحد 841، غرب آرمین, چهارمحال و بختیاری 4511544796",,,2,2025-11-11
81,3974014896,پدرام,بهرامی,1980-08-06,مرد,09142939685,"7059 شبیری خیابان سوئیت 658، شمال اسرا, مرکزی 213",B+,,1,2024-10-01
82,8501631590,ایمان,سعیدی,1970-03-03,مرد,09735866296,"9092 صارمی بزرگ راه واحد 192، روستای مهديس, سمنان 1027",AB+,,1,2023-10-03
83,1426265514,مریم,نوری,1964-02-16,زن,09678886101,"4739 نیلوفری تونل، غرب رها, کردستان 271551",A-,,3,2025-02-06
84,6046618398,سینا,امینی,1999-05-31,مرد,09126464715,"25831 آوا بلوار واحد 058، دهستان پارسا, ایلام 1146786691",B-,,4,2025-02-04
